__time,/force/header/stamp/nanosec,/force/header/stamp/sec,/force/wrench/force/x,/force/wrench/force/y,/force/wrench/force/z,/force/wrench/torque/x,/force/wrench/torque/y,/force/wrench/torque/z
1766484841.550167,48970.000000000,1766484841.000000000,-13.608027684,-2.222562788,0.838414641,0.288681834,0.387798882,0.208719856
1766484841.565480,48971.000000000,1766484841.000000000,-14.520297697,-2.529123172,0.609756103,0.284099582,0.378602070,0.228818805
1766484841.581859,48972.000000000,1766484841.000000000,-14.900410202,-3.295524133,0.381097564,0.284099582,0.390864486,0.219542367
1766484841.597319,48973.000000000,1766484841.000000000,-14.368252695,-3.448804326,0.533536590,0.285626999,0.384733278,0.224180586
1766484841.614097,48974.000000000,1766484841.000000000,-14.216207692,-2.912323653,0.533536590,0.288681834,0.392397288,0.211812002
1766484841.630298,48975.000000000,1766484841.000000000,-14.216207692,-2.835683557,0.990853667,0.284099582,0.384733278,0.219542367
1766484841.645594,48976.000000000,1766484841.000000000,-14.748365200,-2.529123172,0.762195129,0.287154417,0.386266080,0.214904148
1766484841.662299,48977.000000000,1766484841.000000000,-14.064162690,-2.912323653,0.914634154,0.287154417,0.378602070,0.219542367
1766484841.677651,48978.000000000,1766484841.000000000,-14.672342699,-2.452483076,0.457317077,0.288681834,0.389331684,0.217996294
1766484841.694391,48979.000000000,1766484841.000000000,-15.052455204,-2.605763268,0.457317077,0.288681834,0.387798882,0.227272732
1766484841.709706,48980.000000000,1766484841.000000000,-14.444275196,-2.299202884,0.685975616,0.285626999,0.384733278,0.204081637
1766484841.726263,48981.000000000,1766484841.000000000,-14.520297697,-2.988963749,0.685975616,0.285626999,0.386266080,0.219542367
1766484841.741710,48982.000000000,1766484841.000000000,-14.368252695,-2.529123172,0.533536590,0.285626999,0.384733278,0.213358075
1766484841.758302,48983.000000000,1766484841.000000000,-14.520297697,-2.988963749,0.685975616,0.285626999,0.386266080,0.219542367
