__time,/force/header/stamp/nanosec,/force/header/stamp/sec,/force/wrench/force/x,/force/wrench/force/y,/force/wrench/force/z,/force/wrench/torque/x,/force/wrench/torque/y,/force/wrench/torque/z
1766484449.953383,24486.000000000,1766484449.000000000,-14.596320198,-3.755364710,-0.228658539,0.267297994,0.369405259,0.238095243
1766484449.968641,24487.000000000,1766484449.000000000,-14.976432703,-3.372164230,-0.533536590,0.270352828,0.367872457,0.235003097
1766484449.984953,24488.000000000,1766484449.000000000,-14.976432703,-3.832004806,-0.304878051,0.270352828,0.367872457,0.235003097
1766484450.001496,24489.000000000,1766484450.000000000,-15.508590210,-4.368485479,0.000000000,0.264243160,0.372470863,0.228818805
1766484450.016685,24490.000000000,1766484450.000000000,-15.508590210,-3.525444422,-0.304878051,0.270352828,0.374003665,0.235003097
1766484450.033129,24491.000000000,1766484450.000000000,-14.748365200,-3.678724614,-0.533536590,0.261188326,0.372470863,0.235003097
1766484450.049501,24492.000000000,1766484450.000000000,-14.900410202,-4.138565191,-0.381097564,0.267297994,0.369405259,0.247371681
1766484450.064685,24493.000000000,1766484450.000000000,-14.140185191,-2.988963749,-0.457317077,0.267297994,0.375536467,0.244279535
1766484450.081179,24494.000000000,1766484450.000000000,-13.988140189,-2.835683557,-0.457317077,0.270352828,0.370938061,0.244279535
1766484450.096555,24495.000000000,1766484450.000000000,-14.140185191,-3.832004806,-0.533536590,0.270352828,0.372470863,0.247371681
1766484450.113200,24496.000000000,1766484450.000000000,-14.444275196,-4.061925095,-0.381097564,0.270352828,0.372470863,0.241187389
1766484450.128413,24497.000000000,1766484450.000000000,-14.444275196,-4.138565191,-0.685975616,0.267297994,0.370938061,0.241187389
1766484450.144956,24498.000000000,1766484450.000000000,-15.356545208,-4.215205287,-0.304878051,0.267297994,0.369405259,0.228818805
1766484450.161414,24499.000000000,1766484450.000000000,-14.596320198,-3.755364710,-0.304878051,0.267297994,0.369405259,0.231910951
1766484450.176716,24500.000000000,1766484450.000000000,-14.748365200,-2.912323653,-0.533536590,0.270352828,0.370938061,0.241187389
1766484450.193096,24501.000000000,1766484450.000000000,-14.444275196,-3.525444422,-0.685975616,0.270352828,0.370938061,0.241187389
1766484450.209440,24502.000000000,1766484450.000000000,-13.988140189,-4.215205287,-0.381097564,0.267297994,0.366339655,0.244279535
1766484450.225020,24503.000000000,1766484450.000000000,-14.900410202,-3.678724614,-0.228658539,0.267297994,0.369405259,0.247371681
