__time,/force/header/stamp/nanosec,/force/header/stamp/sec,/force/wrench/force/x,/force/wrench/force/y,/force/wrench/force/z,/force/wrench/torque/x,/force/wrench/torque/y,/force/wrench/torque/z
1766484206.370681,9256.000000000,1766484206.000000000,-14.672342699,-4.215205287,-0.457317077,0.268825411,0.374003665,0.231910951
1766484206.386982,9257.000000000,1766484206.000000000,-15.128477705,-3.908644903,-0.762195129,0.265770577,0.372470863,0.241187389
1766484206.402006,9258.000000000,1766484206.000000000,-14.216207692,-3.142243941,-0.762195129,0.270352828,0.366339655,0.247371681
1766484206.418445,9259.000000000,1766484206.000000000,-14.976432703,-3.908644903,-0.609756103,0.268825411,0.367872457,0.235003097
1766484206.434807,9260.000000000,1766484206.000000000,-14.748365200,-3.448804326,-0.228658539,0.267297994,0.367872457,0.231910951
1766484206.450234,9261.000000000,1766484206.000000000,-14.216207692,-4.215205287,-0.914634154,0.267297994,0.366339655,0.233457024
1766484206.466689,9262.000000000,1766484206.000000000,-15.356545208,-4.215205287,-0.762195129,0.267297994,0.374003665,0.241187389
1766484206.482096,9263.000000000,1766484206.000000000,-14.520297697,-3.755364710,-0.762195129,0.270352828,0.375536467,0.231910951
1766484206.498515,9264.000000000,1766484206.000000000,-14.216207692,-3.448804326,-0.533536590,0.268825411,0.372470863,0.228818805
1766484206.515185,9265.000000000,1766484206.000000000,-14.900410202,-4.598405768,-0.762195129,0.264243160,0.372470863,0.238095243
1766484206.530427,9266.000000000,1766484206.000000000,-14.292230194,-2.529123172,-0.381097564,0.271880245,0.363274051,0.238095243
1766484206.546849,9267.000000000,1766484206.000000000,-15.052455204,-4.138565191,-0.914634154,0.268825411,0.370938061,0.238095243
1766484206.562402,9268.000000000,1766484206.000000000,-14.748365200,-3.755364710,-0.914634154,0.265770577,0.374003665,0.238095243
1766484206.578991,9269.000000000,1766484206.000000000,-15.052455204,-4.138565191,-0.609756103,0.268825411,0.369405259,0.238095243
1766484206.594223,9270.000000000,1766484206.000000000,-14.900410202,-3.448804326,-0.762195129,0.267297994,0.372470863,0.231910951
1766484206.610736,9271.000000000,1766484206.000000000,-15.052455204,-3.142243941,-0.762195129,0.268825411,0.369405259,0.231910951
1766484206.627106,9272.000000000,1766484206.000000000,-14.900410202,-3.755364710,-0.381097564,0.265770577,0.366339655,0.238095243
1766484206.642469,9273.000000000,1766484206.000000000,-14.824387701,-3.908644903,-0.685975616,0.264243160,0.370938061,0.235003097
1766484206.659071,9274.000000000,1766484206.000000000,-15.128477705,-3.602084518,-0.609756103,0.273407663,0.364806853,0.244279535
1766484206.674383,9275.000000000,1766484206.000000000,-14.824387701,-4.061925095,-0.685975616,0.265770577,0.375536467,0.235003097
1766484206.690773,9276.000000000,1766484206.000000000,-15.052455204,-4.215205287,-0.457317077,0.267297994,0.363274051,0.235003097
1766484206.706221,9277.000000000,1766484206.000000000,-14.900410202,-4.061925095,-0.762195129,0.267297994,0.372470863,0.225726659
1766484206.722620,9278.000000000,1766484206.000000000,-15.356545208,-3.602084518,-1.067073180,0.270352828,0.370938061,0.235003097
1766484206.739105,9279.000000000,1766484206.000000000,-14.748365200,-3.602084518,-0.762195129,0.268825411,0.374003665,0.238095243
1766484206.754257,9280.000000000,1766484206.000000000,-14.900410202,-4.138565191,-0.838414641,0.268825411,0.366339655,0.231910951
1766484206.770501,9281.000000000,1766484206.000000000,-15.356545208,-3.755364710,-0.457317077,0.267297994,0.374003665,0.247371681
1766484206.786735,9282.000000000,1766484206.000000000,-14.672342699,-3.602084518,-0.381097564,0.264243160,0.364806853,0.238095243
1766484206.801958,9283.000000000,1766484206.000000000,-14.292230194,-3.448804326,-0.533536590,0.267297994,0.367872457,0.238095243
1766484206.818166,9284.000000000,1766484206.000000000,-15.204500206,-4.138565191,-0.609756103,0.270352828,0.369405259,0.235003097
1766484206.834443,9285.000000000,1766484206.000000000,-14.672342699,-4.598405768,-0.533536590,0.262715743,0.372470863,0.247371681
1766484206.850708,9286.000000000,1766484206.000000000,-14.672342699,-4.598405768,-0.457317077,0.268825411,0.374003665,0.225726659
1766484206.866932,9287.000000000,1766484206.000000000,-15.812680214,-4.368485479,-0.609756103,0.264243160,0.370938061,0.227272732
1766484206.882075,9288.000000000,1766484206.000000000,-14.824387701,-3.602084518,-0.838414641,0.270352828,0.370938061,0.228818805
1766484206.898419,9289.000000000,1766484206.000000000,-14.596320198,-4.291845383,-0.914634154,0.265770577,0.370938061,0.236549170
1766484206.914770,9290.000000000,1766484206.000000000,-14.824387701,-3.295524133,-0.762195129,0.268825411,0.364806853,0.241187389
1766484206.930115,9291.000000000,1766484206.000000000,-14.900410202,-3.448804326,-0.762195129,0.267297994,0.372470863,0.231910951
1766484206.945795,9292.000000000,1766484206.000000000,-14.444275196,-3.755364710,-0.609756103,0.273407663,0.370938061,0.238095243
1766484206.962615,9293.000000000,1766484206.000000000,-14.748365200,-3.295524133,-0.381097564,0.270352828,0.367872457,0.244279535
